編號,醫療院所名稱,區別,里別,地址,電話
1,臺南市東區衛生所,東區,龍山里,林森路１段４１８號,06-2674085
2,臺南市北區衛生所,北區,公園里,西華街５０號,06-2252404
3,臺南市中西區衛生所,西區,安海里,環河街９４號,06-2252403
4,臺南市南區衛生所,南區,南都里,南和路６號,06-2618578
5,臺南市安平區衛生所,安平區,平通里,育平路３１０號,06-2996885
6,臺南市安南區衛生所,安南區,淵東里,仁安路７０號２樓,06-2567406
7,臺南市新營區衛生所,新營區,大宏里,三民路７２號,06-6355696
8,臺南市鹽水區衛生所,鹽水區,中境里,武廟路１號,06-6521041
9,臺南市白河區衛生所,白河區,永安里,國光路５號,06-6852024
10,臺南市柳營區衛生所,柳營區,士林里,５４之５號,06-6220464
11,臺南市後壁區衛生所,後壁區,後壁里,３號,06-6872624
12,臺南市東山區衛生所,東山區,東山里,２３６號,06-6802618
13,臺南市麻豆區衛生所,麻豆區,巷口里,興國路１１一１號,06-5722215
14,臺南市下營區衛生所,下營區,營前里,中山路二段１３７號,06-6892149
15,臺南市六甲區衛生所,六甲區,二甲里,中華路１１０號,06-6982013
16,臺南市官田區衛生所,官田區,隆田里,中山路一段１２８號,06-5791493
17,臺南市大內區衛生所,大內區,大內里,2號,06-5761044
18,臺南市佳里區衛生所,佳里區,東寧里,進學路１５９號,06-7224106
19,臺南市學甲區衛生所,學甲區,仁得里,建國路３８號１樓,06-7833359
20,臺南市西港區衛生所,西港區,西港里,中山路３６８號,06-7952338
21,臺南市七股區衛生所,七股區,大埕里,３７９號,06-7872277
22,臺南市將軍區衛生所,將軍區,忠興里,１８５－６號,06-7942007
23,臺南市北門區衛生所,北門區,永隆里,５０號,06-7862043
24,臺南市新化區衛生所,新化區,豐榮里,健康路十三鄰１４３號,06-5905398
25,臺南市善化區衛生所,善化區,光文里,中山路２００號,06-5837035
26,臺南市新市區衛生所,新市區,新市里,中興街１２號,06-5992504
27,臺南市山上區衛生所,山上區,山上里,３５－２號,06-5781013
28,臺南市玉井區衛生所,玉井區,玉田里,中正路５號,06-5742275
29,臺南市楠西區衛生所,楠西區,楠西里,中正路２２６號,06-5751006
30,臺南市南化區衛生所,南化區,南化里,２２６－１號,06-5771139
31,臺南市左鎮區衛生所,左鎮區,中正里,１７２之１５號,06-5731114
32,臺南市仁德區衛生所,仁德區,仁德里,中山路６０６巷２號,06-2704153
33,臺南市歸仁區衛生所,歸仁區,後市里,中正北路１段１號,06-2393309
34,臺南市關廟區衛生所,關廟區,山西里,中正路１０００號,06-5952395
35,臺南市龍崎區衛生所,龍崎區,崎頂里,新市子１５８號,06-5941397
36,臺南市永康區衛生所,永康區,永康里,文化路５１號,06-2326507
37,臺南市安定區衛生所,安定區,安定里,５９－１號,06-5922022
38,衛生福利部胸腔病院,東區,大同里,大同路一段69號,06-2705911
39,德東診所,東區,大智里,德東街93-1號1、2樓,06-2899616
40,謝明憲內科診所,東區,中西里,長榮路２段９３號,06-2086360
41,徐慶鐘小兒科診所,東區,中西里,長榮路二段３０６號,06-2369954
42,石荃小兒科診所,東區,文聖里,裕農一街155號,06-3363558
43,路加小兒科診所,東區,自強里,中華東路二段１８５巷２６，２８號,06-2698925
44,佳一家庭診所,東區,東光里,東光路１段１３２號１樓,06-2360513
45,喜樂小兒科診所,東區,東光里,東光路１段１０６號,06-2757958
46,王正賜小兒科診所,東區,東明里,東安路１００號,06-2008992
47,林信常診所,東區,東明里,東安路５０號,06-2362853
48,呂怡璋小兒科診所,東區,東門里,前鋒路４１號,06-2748014
49,幼馨診所,東區,東聖里,裕農路５８４之２號,06-2680207
50,臺灣基督長老教會新樓醫療財團法人臺南新樓醫院,東區,泉北里,東門路１段５７號,06-2748316
51,臺南市立醫院,東區,崇成里,崇德路６７０號,06-2609926
52,寶泰診所,東區,崇信里,東門路二段４３４號,06-2896568
53,葉正傑家醫科診所,東區,崇信里,崇學路１４４號,06-2689599
54,侯世婷小兒科診所,東區,崇善里,崇善路５１１號１樓,06-3369131
55,陳勃旭耳鼻喉科診所,東區,崇德里,崇善路４３８號１樓,06-3358868
56,王肇陽皮膚科診所,東區,德光里,崇明路７９號,06-2891634
57,良田蔡明峻小兒科診所,東區,德光里,崇明路２０１號１樓,06-2607698
58,黃三元耳鼻喉科診所,東區,德光里,崇明路7號,06-2606169
59,林泰盟耳鼻喉科診所,仁德區,仁義里,中山路３６４號,06-2495278
60,慈安診所,仁德區,太子里,太子路３５２－１號,06-2739003
61,林孟津小兒科診所,南區,文南里,建南路１１９號,06-2610883
62,林黑潮小兒科診所,南區,日新里,金華路一段３７７號,06-2656789
63,泰立診所,南區,府南里,西門路一段１９９號１樓之８,06-2636629
64,唐勳樟診所,南區,明興里,金華路一段１６０號１樓,06-2642266
65,林大傑耳鼻喉科診所,南區,金華里,金華路二段１７１號,06-2915660
66,張祐禎家庭醫學科診所,南區,郡南里,中華南路二段７２號,06-2920909
67,民安診所,南區,喜南里,喜樹路２７２號,06-2622143
68,祥泰診所,南區,開南里,新建路37巷2號之2、2號之3,06-2617119
69,王日榮耳鼻喉科診所,南區,新生里,大同路二段１０２號,06-2149955
70,張士澎內科家醫科診所,南區,新昌里,西門路一段６１１號,06-2216216
71,葉太原診所,南區,新興里,夏林路１７２號,06-2633011
72,霍永惠診所,南區,新興里,健康路二段３５號,06-2658666 
73,文賢內科診所,北區,大和里,文賢路６２９號１、２樓及６３１號１樓,06-2502588
74,傅耳鼻喉科診所,北區,大港里,文賢路８７７號,06-2507089
75,曾內科診所,北區,大道里,和緯路１段５２號１樓,06-2522293
76,蘇耳鼻喉科診所,北區,大豐里,文賢路２６３號１樓,06-2092820
77,邱泉正耳鼻喉科診所,北區,大豐里,文賢路291號,06-2501686
78,國立成功大學醫學院附設醫院,北區,仁愛里,勝利路138號,06-2353535
79,王克生小兒科診所,北區,元寶里,開元路４７９號１樓,06-2362201
80,德幼小兒科診所,北區,文元里,和緯路３段３２２號１樓,06-2584000
81,海安小兒科診所,北區,文元里,海安路３段７６１、７６１－１號１樓,06-2820566
82,王界三小兒科診所,北區,文元里,文賢路１０６８號,06-3583770
83,第一聯合診所,北區,中樓里,勝利路421號,06-2350116
84,陳文峰耳鼻喉科診所,北區,正覺里,公園路７０３號,06-2833398
85,邱盈禎診所,北區,正覺里,公園路６３５號,06-2520056
86,張金石小兒科診所,北區,玉皇里,公園路１９１號,06-2216695
87,惠幼小兒科診所,北區,玉皇里,公園路１６７號,06-2251179
