晶品診所	高雄三民區十全一路223號1樓	22.644838	120.307256	07-3222517
尚文診所	高雄大樹區久堂路30號1樓	22.659312	120.420803	07-6527978
宏彰診所	高雄大樹區中正一路423號	22.695077	120.434052	07-6527531
順安內科兒科診所	高雄三民區自強一路229號	22.6355274	120.2912702	07-2815659
鄭榮祥診所	高雄三民區自強一路197號1樓	22.634707	120.291459	07-2511241
傳生診所	高雄三民區建國三路503號1樓	22.6353102	120.2887011	07-2911588
婦全婦產科診所	高雄三民區建國三路517號1樓	22.635163	120.288365	07-2728025
後驛診所	高雄三民區察哈爾二街19號1樓	22.647494	120.302377	07-3134133
進安家庭醫學科診所	高雄三民區建國三路144號1樓	22.637512	120.294285	07-2862494
謝智新骨科診所	高雄三民區九如二路471號1至2樓	22.641381	120.299135	07-3120303
承安耳鼻喉科診所	高雄三民區力行路250號1樓	22.6380074	120.2864438	07-3160789
南山醫院	高雄三民區建國三路151號	22.6377336	120.2985483	07-2882101
上仁診所	高雄三民區中華三路285號1樓	22.63588	120.293083	07-2155510
文雄醫院	高雄三民區察哈爾二街132號B1至5樓	22.6480612	120.2995451	07-3165275
曾繁英診所	高雄三民區自立一路267號	22.64249	120.296143	07-3111048
祐生醫院	高雄三民區建國三路60號	22.6379608	120.2961286	07-2866688
全民醫院	高雄三民區九如二路501號1至4樓	22.6413741	120.2985516	07-3220066
明榮診所	高雄三民區熱河一街370號1至2樓	22.644009	120.305858	07-3222875
樂田耳鼻喉科診所	高雄三民區熱河一街365號1樓	22.643607	120.305885	07-3115999
德謙醫院	高雄三民區九如二路18號	22.64066	120.3131826	07-3210981
愛仁醫療社團法人愛仁醫院	高雄三民區民族一路51號1至4樓	22.6418183	120.3139275	07-3115159
高斌祥外科診所	高雄三民區九如二路202號	22.6411023	120.3070736	07-3119515
怡德耳鼻喉科診所	高雄三民區自立一路99號	22.637307	120.296404	07-2864875
快安診所	高雄三民區立忠路29號1樓	22.6531048	120.325702	07-3895420
安昕診所	高雄三民區大昌一路163號1樓	22.6545419	120.3248841	07-3832564
新高醫院	高雄三民區莊敬路288號1至9樓	22.6498019	120.3182122	07-3828814
灣內診所	高雄三民區鼎山街705號1樓	22.649002	120.315715	07-3866118
高鳳診所	高雄三民區灣中街328號1樓	22.6498482	120.317945	07-3865481
陳豊源耳鼻喉科診所	高雄三民區建工路648號	22.649148	120.321936	07-3870120
賴耳鼻喉科診所	高雄三民區鼎山街581號	22.651048	120.317455	07-3826946
鼎山診所	高雄三民區鼎山街598號1樓	22.650883	120.316967	07-3824296
大慶耳鼻喉科診所	高雄三民區天祥一路146號1樓	22.667862	120.319246	07-3596393
曾柏彰診所	高雄三民區鼎力路339號1樓	22.669339	120.324531	07-3103216
獅湖診所	高雄三民區鼎力路305號1樓	22.6690426	120.3239161	07-3429999
蔡仁正診所	高雄三民區天祥一路200號1樓	22.668012	120.318229	07-3597493
育明診所	高雄三民區民族一路537號1至2樓	22.6660212	120.3163601	07-3478461
亮忠診所	高雄三民區明誠二路28號1樓	22.659911	120.314912	07-3490760
醫鼎診所	高雄三民區裕誠路101號1至2樓	22.6637684	120.3134578	07-3506789
振祐診所	高雄三民區大豐二路154號1樓	22.645451	120.330757	07-3805909
